,date,close
903,21/09/2018,1810.64
904,24/09/2018,1800.17
905,25/09/2018,1794.47
906,26/09/2018,1798.72
907,27/09/2018,1798.64
908,28/09/2018,1793.15
909,01/10/2018,1792.46
910,02/10/2018,1798.15
911,03/10/2018,1796.3
912,04/10/2018,1790.11
913,05/10/2018,1777.15
914,08/10/2018,1775.75
915,09/10/2018,1774.15
916,10/10/2018,1735.18
917,11/10/2018,1708.49
918,12/10/2018,1730.74
919,15/10/2018,1728.74
920,16/10/2018,1736.84
921,17/10/2018,1740.59
922,18/10/2018,1738.01
923,19/10/2018,1732.14
924,22/10/2018,1722.47
925,23/10/2018,1697.6
926,24/10/2018,1690.04
927,25/10/2018,1686.59
928,26/10/2018,1683.06
929,29/10/2018,1683.73
930,30/10/2018,1685.94
931,31/10/2018,1709.27
932,01/11/2018,1706.92
933,02/11/2018,1713.87
934,05/11/2018,1708.8
935,07/11/2018,1714.88
936,08/11/2018,1721.42
937,09/11/2018,1708.09
938,12/11/2018,1696.14
939,13/11/2018,1687.57
940,14/11/2018,1688.41
941,15/11/2018,1694.21
942,16/11/2018,1706.38
943,19/11/2018,1710.71
944,21/11/2018,1695.37
945,22/11/2018,1695.62
946,23/11/2018,1695.88
947,26/11/2018,1701.99
948,27/11/2018,1684.97
949,28/11/2018,1686.55
950,29/11/2018,1696.34
951,30/11/2018,1679.86
952,03/12/2018,1699.72
953,04/12/2018,1694.99
954,05/12/2018,1688.27
955,06/12/2018,1683.34
956,07/12/2018,1680.54
957,10/12/2018,1663.31
958,11/12/2018,1652.63
959,12/12/2018,1663.27
960,13/12/2018,1676
961,14/12/2018,1661.96
962,17/12/2018,1641.62
963,18/12/2018,1635.31
964,19/12/2018,1655.66
965,20/12/2018,1650.56
966,21/12/2018,1670.28
967,24/12/2018,1683.82
968,26/12/2018,1672.6
969,27/12/2018,1690.72
970,28/12/2018,1692.07
971,31/12/2018,1690.58
972,02/01/2019,1668.11
973,03/01/2019,1675.83
974,04/01/2019,1669.78
975,07/01/2019,1679.17
976,08/01/2019,1672.76
977,09/01/2019,1667.83
978,10/01/2019,1678.88
979,11/01/2019,1683.22
980,14/01/2019,1676.16
981,15/01/2019,1679.42
982,16/01/2019,1673.08
983,17/01/2019,1682.97
984,18/01/2019,1692.22
985,22/01/2019,1702.12
986,23/01/2019,1688.14
987,24/01/2019,1693.59
988,25/01/2019,1701.03
989,28/01/2019,1697.5
990,29/01/2019,1690.41
991,30/01/2019,1684.11
992,31/01/2019,1683.53
993,04/02/2019,1683.61
994,07/02/2019,1693.39
995,08/02/2019,1686.52
996,11/02/2019,1688.56
997,12/02/2019,1687.41
998,13/02/2019,1685.3
999,14/02/2019,1689.06
1000,15/02/2019,1688.83
1001,18/02/2019,1692.74
1002,19/02/2019,1706.56
1003,20/02/2019,1726.18
1004,21/02/2019,1730.68
1005,22/02/2019,1721.42
